"id,""timestamp"",""device_id"",""device_name"",""current"",""voltage"",""power"",""channel"""
"275,""2026-06-09T11:46:46.838734"",""esp32-01"",""esp32-01"",""0.321"",""230"",""73.8"","""""
"274,""2026-06-09T11:46:41.599154"",""esp32-01"",""esp32-01"",""0.316"",""230"",""72.6"","""""
"273,""2026-06-09T11:46:36.280421"",""esp32-01"",""esp32-01"",""0.311"",""230"",""71.5"","""""
"272,""2026-06-09T11:46:30.957548"",""esp32-01"",""esp32-01"",""0.311"",""230"",""71.5"","""""
"271,""2026-06-09T11:46:25.735156"",""esp32-01"",""esp32-01"",""0.315"",""230"",""72.4"","""""
"270,""2026-06-09T11:46:20.512936"",""esp32-01"",""esp32-01"",""0.319"",""230"",""73.3"","""""
"269,""2026-06-09T11:46:15.288813"",""esp32-01"",""esp32-01"",""0.319"",""230"",""73.3"","""""
"268,""2026-06-09T11:46:10.170125"",""esp32-01"",""esp32-01"",""0.317"",""230"",""72.8"","""""
"267,""2026-06-09T11:46:04.947885"",""esp32-01"",""esp32-01"",""0.323"",""230"",""74.3"","""""
"266,""2026-06-09T11:45:59.739513"",""esp32-01"",""esp32-01"",""0.356"",""230"",""81.8"","""""
"265,""2026-06-09T11:39:48.227757"",""esp32-01"",""esp32-01"",""0.396"",""230"",""91"","""""
"264,""2026-06-09T11:39:42.903904"",""esp32-01"",""esp32-01"",""0.4"",""230"",""92.1"","""""
"263,""2026-06-09T11:39:37.681482"",""esp32-01"",""esp32-01"",""0.398"",""230"",""91.5"","""""
"262,""2026-06-09T11:39:32.459497"",""esp32-01"",""esp32-01"",""0.4"",""230"",""92"","""""
"261,""2026-06-09T11:39:27.340517"",""esp32-01"",""esp32-01"",""0.43"",""230"",""98.8"","""""
"260,""2026-06-09T11:39:21.728414"",""esp32-01"",""esp32-01"",""0.414"",""230"",""95.2"","""""
"259,""2026-06-09T11:39:16.598493"",""esp32-01"",""esp32-01"",""0.41"",""230"",""94.3"","""""
"258,""2026-06-09T11:39:11.280829"",""esp32-01"",""esp32-01"",""0.409"",""230"",""94.2"","""""
"257,""2026-06-09T11:39:06.142377"",""esp32-01"",""esp32-01"",""0.458"",""230"",""105.3"","""""
"256,""2026-06-09T11:39:00.919748"",""esp32-01"",""esp32-01"",""0.42"",""230"",""96.5"","""""
"255,""2026-06-09T11:38:55.697196"",""esp32-01"",""esp32-01"",""0.415"",""230"",""95.4"","""""
"254,""2026-06-09T11:38:50.396029"",""esp32-01"",""esp32-01"",""0.412"",""230"",""94.8"","""""
"253,""2026-06-09T11:38:45.150624"",""esp32-01"",""esp32-01"",""0.423"",""230"",""97.2"","""""
"252,""2026-06-09T11:38:39.847869"",""esp32-01"",""esp32-01"",""0.459"",""230"",""105.6"","""""
"251,""2026-06-09T11:38:34.642760"",""esp32-01"",""esp32-01"",""0.464"",""230"",""106.7"","""""
